Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
,New,BidWrangler,,,twitter.com/BidWrangler,1-10,Auction technology platform,https://www.bidwrangler.com/,"HARRISONBURG, VA",USA,Tim Peters,,,,
Legacy,Old,Big Universe,biguniverse,twitter.com/,twitter.com/biguniverse,1-10,e-learning,https://www.biguniverse.com/,"Reston, VA",USA,Anil Hemrajani,anilhemrajani,twitter.com/,twitter.com/anilhemrajani,https://www.biguniverse.com/careers
Legacy,Old,Big Wheel Brigade,bwbspeaks,twitter.com/,twitter.com/bwbspeaks,1-10,Big Wheel Brigade is a web application development shop,http://www.bigwheelbrigade.com/,"Omaha, Nebraska",USA,Rahul Gupta,hul,twitter.com/,twitter.com/hul,https://www.remotebase.io/company/big-wheel-brigade/jobs
,New,Bisnow Media,,,twitter.com/bisnow,51-200,"Inform, connect and advance the commercial real estate community to do more business.",https://www.bisnow.com,"New York, NY",USA,Ryan Begelman,,,twitter.com/RyanBegelman,
Legacy,Old,Bithive,tweetbithive,twitter.com/,twitter.com/tweetbithive,1-10,Build startups and projects,https://bithive.io,Hong Kong,Hong Kong,Diegos Rojas,diegoluisr,twitter.com/,twitter.com/diegoluisr,https://angel.co/bihive-io/jobs
StackO Jobs,Old,Bitnami,Bitnami,twitter.com/,twitter.com/Bitnami,51-200,Packaged Applications for Any Platform,https://bitnami.com/,"San Francisco, CA",USA,Daniel Lopez,,,,https://bitnami.com/careers
Legacy,Old,Bitovi,bitovi,twitter.com/,twitter.com/bitovi,11-50,Bitovi simplifies JavaScript development and UX design.,https://www.bitovi.com/,,USA,Justin Meyer,justinbmeyer,twitter.com/,twitter.com/justinbmeyer,https://www.bitovi.com/jobs
Legacy,Old,Black Pixel,blackpixel,twitter.com/,twitter.com/blackpixel,51-200,"Making great software in Seattle, Washington and around the world.",https://blackpixel.com,"Seattle, WA",USA,Daniel Pasco,dlpasco,twitter.com/,twitter.com/dlpasco,https://blackpixel.com/careers/
,New,Blanket,,,twitter.com/blanketai,1-10,Your Automated SDR,http://blanket.ai/,"Miami, FL",USA,Alex Nucci,,,,
StackO Jobs,Old,BloodHub,bloodhub,twitter.com/,twitter.com/bloodhub,1-10,Supply chain automation for Blood Suppliers and Hospitals.,http://www.bloodhub.com/founders/,"Phoenix, AZ",USA,Andrew Pandelakis,,,,http://www.bloodhub.com/
Legacy,Old,Blossom,blossom,twitter.com/,twitter.com/blossom,1-10,A lightweight project management tool,http://www.blossom.co/,"San Francisco, CA",USA,Manrique Brenes,,,,https://angel.co/blossom
,New,Blue Ox Family Games,,,N/A,1-10, An independent studio that creates original family-oriented mobile apps,http://www.blueoxfamilygames.com/,MI,USA,Christopher York,,,,
,Old,Blue Zinc IT ,,,N/A,11-50,"Specialising in improving, connecting and automating the musculoskeletal.",https://www.blue-zinc.com,Belfast,UK,"Northern Ireland, UK",,,,
,New,BlueLabs,,,N/A,1-10,Building a next generation Sports Betting Platform,https://www.bluelabs.eu/,Valetta,Malta,Moritz Honig,,,https://twitter.com/moritzhonig,
Legacy,Old,Bluespark Labs,bluesparklabs,twitter.com/,twitter.com/bluesparklabs,11-50,"We help you imagine, design, and build amazing digital experiences",https://www.bluespark.com/,"Raleigh, NC ",USA,Michael Tucker,michaelrtucker,twitter.com/,twitter.com/michaelrtucker,https://www.bluespark.com/join-bluespark-team
,New,Boatyard,,,twitter.com/BoatyardUSA,1-10,Connecting the World of Boating,www.boatyard.com,"Miami, FL",USA,,,,,
,New,Bold Penguin,,,twitter.com/bold_penguin,11-50,Commercial insurance exchange,https://www.boldpenguin.com/,"Columbus, OH",USA,Ilya Bodner,,,,
WWR,Old,Bonfire,bonfire,twitter.com/,twitter.com/bonfire,11-50,Helps people design and sell custom shirts,https://www.bonfire.com/about/,"Richmond, VA",USA,,,,,https://careers.bonfire.com
WWR,Old,BookingSync,bookingsync,twitter.com/,twitter.com/bookingsync,11-50,BookingSync is a property management system for vacation rentals.,https://www.bookingsync.com/,Alps,France,Sebastien Grosjean,,,,bookingsync.com 
,New,Bookwhen,,,twitter.com/bookwhen,1-10,"Flexible online booking system for Classes, Courses, Workshops and Events.",https://bookwhen.com/,Oxford,UK,Jo Potts,,,,
WWR,Old,BrainCheck,BrainCheck,twitter.com/,twitter.com/BrainCheck,1-10,BrainCheck empowers you to track your own brain health,https://braincheck.com/our-team/,"Houston, TX",USA,Yael Katz,,,https://twitter.com/yaeljkatz,https://braincheck.com/join-us/
StackO Jobs,Old,BrandBastion,BrandBastion,twitter.com/,twitter.com/BrandBastion,11-50,BrandBastion is the #1 choice for ad spenders on social media.,https://www.brandbastion.com/join-us,"San Francisco, CA",USA,Jenny Wolfram,,,https://twitter.com/JennyWolfram,https://www.brandbastion.com/
remoteok,Old,Brave-software,brave,twitter.com/,twitter.com/brave,11-50,"fix the web by giving users a safer, faster and better browsing experience",https://brave.com/jobs/,"San Francisco, CA",USA,Brendan Eich,,,https://twitter.com/BrendanEich,brave.com
remoteok,Old,BriteCore,britecore,twitter.com/,twitter.com/britecore,11-50,Modern Insurance technology,https://www.britecore.com/company/,"SPRINGFIELD, MO",USA,Phil Reynolds,,,,https://www.britecore.com/team/
,New,Brivity,,,twitter.com/Brivity,51-200,The only system that guarantees success in real estate,https://www.brivity.com/,"Bellingham, WA",USA,Ben Kinney,,,,
Legacy,Old,Buffer,buffer,twitter.com/,twitter.com/buffer,51-200,A better way to share on social media - Social media management for marketers and agencies,buffer.com,"San Francisco, CA",USA,Joel Gascoigne,joelgascoigne,twitter.com/,twitter.com/joelgascoigne,https://buffer.com/journey
Legacy,Old,Bugcrowd,Bugcrowd,twitter.com/,twitter.com/Bugcrowd,11-50,"We bring thousands of good hackers to the fight,",https://bugcrowd.com/,"San Francisco, CA",USA,Casey Ellis,caseyjohnellis,twitter.com/,twitter.com/caseyjohnellis,https://bugcrowd.com/careers
Lukasz,Old,Bugfender,bugfenderapp,twitter.com/,twitter.com/bugfenderapp,1-10,remote logger for multiple platforms,https://bugfender.com/about-bugfender/,Barcelona,Spain,Aleix Ventayol,,,https://twitter.com/aleixventayol,https://bugfender.com/about-bugfender/
Legacy,Old,BuySellAds,buysellads,twitter.com/,twitter.com/buysellads,11-50,"12,000+ advertisers reaching audiences in context at scale",http://buysellads.com/,"Boston, MA",USA,Todd Garland,toddo,twitter.com/,twitter.com/toddo,
Lukasz,Old,Cadasta,CadastaOrg,twitter.com/,twitter.com/CadastaOrg,1-10,Secure platform for mapping global land & resource rights,http://cadasta.org/about-us/our-team/staff/,"Washington, DC",USA,Frank Pichel,,,,http://cadasta.org/about-us/our-team/product-owner/
WWR,Old,CafeMedia,cafemedia_,twitter.com/,twitter.com/cafemedia_,11-50,Fueling Today's creative economy,http://www.cafemedia.com/team.php,"New York, NY",USA,Michael Sanchez,,,,http://www.cafemedia.com/career.php
Legacy,Old,Camplight,campenlightment,twitter.com/,twitter.com/campenlightment,11-50,digital cooperative that creates experiences,https://camplight.net/,,,,,,,
Legacy,Old,Canonical,Canonical,twitter.com/,twitter.com/Canonical,501-1000,It is our mission to make open source software available to people everywhere. ,http://www.canonical.com/,London,UK,Jane Silber,silbs,twitter.com/,twitter.com/silbs,http://www.canonical.com/careers
remoteok,Old,Carbon Black,CarbonBlack_Inc,twitter.com/,twitter.com/CarbonBlack_Inc,51-200,Stop the Most Attacks,https://www.carbonblack.com/,"Waltham, MA",USA,Patrick Morley,,,,https://www.carbonblack.com/
Legacy,Old,Cargobase,Cargobase,twitter.com/,twitter.com/Cargobase,11-50,Online Platform for Ad Hoc Freight,https://www.cargobase.com/,Singapore,Singapore,Wiebe Helder,whelder,twitter.com/,twitter.com/whelder,https://cargobase1.recruitee.com/#/
